date,value,ret
02/14/1991,1486.5,-0.19490069522639275
02/15/1991,1531.199951,2.9627346259492016
02/18/1991,1572.599976,2.667857559842056
02/19/1991,1587.099976,0.9178151095527489
02/20/1991,1567.300049,-1.2554011467613182
02/21/1991,1566.300049,-0.06382435554455984
02/22/1991,1582.5,1.028969364979807
02/25/1991,1601.199951,1.174744249803825
02/26/1991,1558.199951,-2.7222040066153284
02/27/1991,1565.5,0.4673984316244114
02/28/1991,1542.099976,-1.5060153466042838
03/01/1991,1516.699951,-1.6608218550049003
03/04/1991,1530.900024,0.9318923664719536
03/05/1991,1540.300049,0.6121421027307967
03/06/1991,1594.300049,3.4457564705414723
03/07/1991,1580.5,-0.8693546492138422
03/08/1991,1580.5,0.
03/11/1991,1565.800049,-0.9344345887951898
03/12/1991,1571.599976,0.3697286645522686
03/13/1991,1542.199951,-1.8884256787175553
03/14/1991,1576.599976,2.2060677777108983
03/15/1991,1570.599976,-0.3812917743187087
03/18/1991,1552.900024,-1.1333530629891115
03/19/1991,1546.5,-0.41298529049743044
03/20/1991,1517.900024,-1.8666496680992624
03/21/1991,1519.599976,0.11193100757087351
03/22/1991,1520.300049,0.046058949743011605
03/25/1991,1515.5,-0.3162298519412808
03/26/1991,1498.400024,-1.1347529350894339
03/27/1991,1508.800049,0.6916777208368861
03/28/1991,1522.800049,0.9236112330576892
04/02/1991,1538.599976,1.0322118740328627
04/03/1991,1577.5,2.4968418989130305
04/04/1991,1572.,-0.3492621426216358
04/05/1991,1586.900024,0.9433748703471169
04/08/1991,1580.,-0.43575956716103703
04/09/1991,1582.099976,0.13282162642944556
04/10/1991,1561.900024,-1.285001905572979
04/11/1991,1565.400024,0.22383534727052384
04/12/1991,1583.099976,1.1243537217320574
04/15/1991,1601.400024,1.149332670581683
04/16/1991,1603.400024,0.12481279516238376
04/17/1991,1623.800049,1.264272202743185
04/18/1991,1613.800049,-0.617743482695188
04/19/1991,1599.400024,-0.8963102874107178
04/22/1991,1571.900024,-1.734347990107751
04/23/1991,1597.099976,1.5904375632687813
04/24/1991,1603.699951,0.4123959325392965
04/25/1991,1620.5,1.0421314621182562
04/26/1991,1623.800049,0.20343680228735103
04/29/1991,1620.300049,-0.2157764096207674
04/30/1991,1605.800049,-0.8989242243299547
05/02/1991,1630.,1.4957909535839522
05/03/1991,1631.800049,0.11037152220811945
05/06/1991,1624.,-0.4791488301265835
05/07/1991,1627.5,0.21528533611010928
05/08/1991,1607.300049,-1.2489312021721433
05/10/1991,1620.599976,0.824065315629203
05/13/1991,1610.900024,-0.6003392314871113
05/14/1991,1598.5,-0.7727354402527585
05/15/1991,1590.400024,-0.5080117507043376
05/16/1991,1598.099976,0.4829836580376533
05/17/1991,1598.900024,0.05004992284646707
05/21/1991,1617.400024,1.1504028698657376
05/22/1991,1647.699951,1.8560409824610546
05/23/1991,1652.699951,0.3029938173364074
05/24/1991,1671.900024,1.1550434100199671
05/27/1991,1681.5,0.5725533581798505
05/28/1991,1682.099976,0.03567463495326526
05/29/1991,1681.5,-0.03567463495326249
05/31/1991,1704.099976,1.3350845849342008
06/03/1991,1694.099976,-0.5885485849580052
06/04/1991,1685.400024,-0.5148673601890483
06/05/1991,1712.800049,1.6126548305403652
06/06/1991,1704.199951,-0.5033723242238364
